c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
5770,Customer#000005770,"YL4y,WuhhdA",9,19-915-859-8268,2418.14,MACHINERY,ach blithely. regular instructions across the quic
5776,Customer#000005776,"e7FHI,7dCFx5GCtAmPztU7k9ESqz3dI",15,25-281-795-2266,5263.76,MACHINERY,of the foxes boost blithely slyly ironic accounts. qui
5927,Customer#000005927,0nqBX2Vdkb9S0gF Hdijd6La,15,25-304-497-2212,29.65,HOUSEHOLD,lyly special theodolites dazzle blithely. fluffily regular requests haggle. carefully final packages
5992,Customer#000005992,"4fAd,QxmI7PMbSmjV4RQtWB3cPe3 7C2zc",23,33-811-177-4973,7125.53,MACHINERY,l deposits. special packages might serve carefully stealth
6159,Customer#000006159,"naaCoV9ztjZ2YVP4hmQAtTnFsb,DAWFoAJp5",6,16-192-111-5212,9877.27,FURNITURE,"g the silent, ironic theodolite"
6356,Customer#000006356,6xjYndpkg 0HArUyB56Xqv7EyDD7JrEi,4,14-568-481-2395,6800.46,AUTOMOBILE,ronic ideas integrate furiously careful platelets. blithely regular packages sleep carefully. 
6654,Customer#000006654,"AHYF0lz1LiG,wC1WMH9L9pCe3PdUaO4Q",7,17-933-462-3572,5789.45,MACHINERY,s. blithely regular accounts engage slowly carefully final se
6737,Customer#000006737,TnIV3SSmxJFDBYUexZHw2w2m3vIAFgv38lwDY7Rb,4,14-372-941-6618,6015.13,FURNITURE,"iously ironic theodolites nag slyly according to the even requests! slow, regular platelets doubt. "
6897,Customer#000006897,2y42Nhr2PYA54EHyciLjYpnVHJStojcN,0,10-920-317-5942,101.13,BUILDING, the express dependencies. boldly ironic foxes nag slyly express requests. final 
7137,Customer#000007137,BXIi0ts1wO2Fm,17,27-687-706-5292,6380.16,MACHINERY,"oss the even, pending requests in"
7216,Customer#000007216,"IZW0GoLe73JM,OvIxmMfbaEi",21,31-332-852-2633,9616.15,FURNITURE,"he regular, regular ideas. bold, unusual deposits wake about the"
7545,Customer#000007545,sL4qYt0analeU471TvfmXT,4,14-102-769-2247,6924.3,HOUSEHOLD,", even instructions wake careful"
7613,Customer#000007613,GNwnJ2mq wKBe2VqPt9vtkHQJ,24,34-462-539-8733,-707.81,FURNITURE,ly about the permanently regular accounts; final a
7945,Customer#000007945,"BryyENBU,HcFPL0AOLkl0ySs,AE,VQA",14,24-191-922-3053,9689.54,BUILDING,e regularly slyly regular pinto beans. theodolites across the pinto beans use ca
7996,Customer#000007996,"m0U2JhE68UhxZ8,jNfqeRQvCeBiOqBH4nj8g9c",21,31-492-726-6196,7441.99,HOUSEHOLD,ounts. even foxes are slyly along the blithely bold packages. carefully silent asymptotes haggle
8047,Customer#000008047,1ikpLjx4t8Di2ea3oCWGnfpxPb6eGIP9,9,19-430-873-6744,1829.37,AUTOMOBILE,"r requests. regular, unusual instructions integrate quic"
8338,Customer#000008338,"PfGm1bw3SE,SNTTwK9Taxfn6wGxF1CGHI6",8,18-515-187-8284,6056.34,FURNITURE, final excuses. blithely regular requests among the special deposits nod according to the slyly final r
8375,Customer#000008375,Yfa3s8fwT19WvptdJwejMT1O,3,13-916-347-6026,-601.68,HOUSEHOLD,requests. slyly regular packages hang slyly fluffily unusual deposits. carefully express
8427,Customer#000008427,eIiPcebtsT2VHMTqkW740,3,13-857-812-9501,3382.47,BUILDING,n slyly special realms. furiously final foxes eat. carefully regular escapade
8653,Customer#000008653,"lT,miSMtxlobfj",3,13-767-762-7142,3271.45,HOUSEHOLD,ully packages. special depths 
8779,Customer#000008779," 7B6rgOa4x,GlLdk6gfhgeDcXY3RmoRR6fnibGh",12,22-602-497-9403,791.87,MACHINERY,the blithely idle accounts. carefully final p
8837,Customer#000008837,Ijwyn7TiiBx1creqrwN5rhWxibHqkbDg4I,8,18-995-931-8246,181.01,AUTOMOBILE,oss the regular hockey players
8988,Customer#000008988,C9aPctPtll9kT9TpSLzFgqxQlg9OoqB,4,14-885-437-8288,8405.23,FURNITURE, the quickly even pinto beans. sometimes stealthy requests 
9264,Customer#000009264,YLLTJ407eXHixgtzpMmtYGD67tGHBvV64vGh,14,24-437-827-7058,-836.16,FURNITURE,"ully. even, special ideas haggle carefully. even ideas aff"
9306,Customer#000009306,Yu792hBfcDx99kCu6xJqPzDRIu7klBlvNlCVdZYa,9,19-956-613-8679,6883.3,HOUSEHOLD,es wake. blithely silent packages detect carefully. furiously fluffy foxes are fluffily quickly ironic 
9461,Customer#000009461,K1ZRDbJTqW1ZyAh6m82,0,10-302-969-9418,4061.68,FURNITURE,ainments boost after the always regular dependencies. 
9670,Customer#000009670,BQI9kdPj 3X5LfPtSBukp7GLMJl,20,30-707-381-3725,6287.92,BUILDING,ironic requests nag final ins
9836,Customer#000009836,rhMxcSvkiTphT4j,19,29-282-241-2677,4515.76,MACHINERY,ly unusual requests haggle accordi
10019,Customer#000010019,FoxYOV haxNTKdhcK qM6nx,19,29-606-162-4557,3034.7,MACHINERY,"ely bold theodolites. even, ironic packages cajole furiou"
10243,Customer#000010243,"rgeup7gSMfmWA KqE0 N,",6,16-409-888-8140,-486.32,BUILDING,fter the pending packages. carefully fluffy requests cajole. 
10248,Customer#000010248,"uA8ZvACB0RLdxto9CwYKi84,1LKoloAhwloTR eS",0,10-724-824-9400,3385.46,AUTOMOBILE, unusual accounts wake blithely about the
10365,Customer#000010365,K9VQ3WmeV1AwzgxciYs,11,21-975-162-2889,8652.91,AUTOMOBILE,ar packages detect carefully ironic instructions. special packages by the blithely final exc
10410,Customer#000010410,sMziJKbbLbtTP8oUQjSQ,3,13-337-859-7423,1912.35,MACHINERY,ly unusual dugouts after the quickly even dolphins breach carefully above th
10457,Customer#000010457,"P0nGG0JlD7nexvN0r,dON2bav6l6qDhFcPtW",0,10-520-989-4485,5145.98,AUTOMOBILE, packages. evenly even deposits boost quickly evenly even excuses. carefully
10515,Customer#000010515,"Keos4tu3vTh2N9zT,INtY4wdNAfN",23,33-632-207-6661,857.11,AUTOMOBILE, express dependencies wake enticingly. final deposits sleep quickly. b
10520,Customer#000010520,"Em0G65LQE79VwyXpa4Lb303lWY6,6kQvSBRK",10,20-140-230-4214,1298.11,BUILDING,e asymptotes: regular deposits after the carefully unusual deposits sublate carefully 
10816,Customer#000010816,"8vOjmmoMQF0eKVekY36zBgnUc1,2bHEOK",15,25-941-199-4789,4452.53,HOUSEHOLD,gular instructions. carefully ironic ideas are unusual foxes. blithely special requests haggle quick
10865,Customer#000010865,"ceHB,xL1C9eSCZCgclmJzp3nFE6CYbW",24,34-898-317-8913,2584.74,AUTOMOBILE,ely about the regular instructions. iron
10873,Customer#000010873,yi5 Na35ExPTZHF0PTR,21,31-954-905-2011,2398,HOUSEHOLD,ss deposits use carefully since the asymptotes
10899,Customer#000010899,ENsTsX QgH5wRAUCLvb3Hhi10 RwBht5lYoiK,21,31-882-649-1393,2093.35,HOUSEHOLD,metimes final requests. blithely ironic ideas cajole carefully: 
11126,Customer#000011126,emNkhujAMEHYqWrPzXAhvdv24TcciEyn82DgIo,23,33-544-946-5819,3551.77,AUTOMOBILE,"ven packages. fluffily ironic requests about the bold, express requests cajole "
11139,Customer#000011139,JkuGKgngD1OF7xN8oQ ,16,26-401-764-4955,8673.11,BUILDING,"inal depths. ironic ideas against the even pinto beans was final, regular asymptotes. foxe"
11269,Customer#000011269,KtxQo0e4CfrWP4sLAvCS4fNo vCeL,22,32-569-229-6653,-998.09,BUILDING, frays sleep furiously against the quickly unusual requests. even foxes haggle-- careful ideas
11331,Customer#000011331,58ElqNb7zEr9BO3FiLByjnNjK,20,30-148-449-8919,3943.86,AUTOMOBILE,le slyly fluffily ironic deposits. packages sleep furiously alongside of the carefully 
11617,Customer#000011617,"NP22,vPNOMNrPBoFmF",13,23-853-687-1790,7824.12,BUILDING,"fully bold accounts sleep. pending, ironic packages are fluffily. theodolites de"
11633,Customer#000011633,"cGdrTu96 NJ9waA,nn1EYJoxAz",23,33-824-876-9094,3428.23,MACHINERY,"haggle silent, regular dolphi"
11692,Customer#000011692,danNCgFSvqP2ShC,10,20-861-534-3967,2686.74,FURNITURE,ual deposits boost around the final asymptotes. dolphins haggle slyly fur
11716,Customer#000011716,jh164omxS8x7UmHP2 MKq,0,10-470-649-7772,5455.99,FURNITURE, final requests about the packages cajole quickly after the carefully r
11926,Customer#000011926,SfDHYwHqYiOCoIZ9XTs0,23,33-428-602-6757,1499.1,MACHINERY,s are stealthily. blithely final theodolites sleep carefully bold packages. final requests against
12053,Customer#000012053,"E99rlmj,,ao6I8FuoyWjTj62T",15,25-613-371-4050,2228.77,FURNITURE,unts haggle across the furiously unusual accounts. carefully regular requests haggle. furious
203,Customer#000000203,2fRlubh lWRinCs1nimADdn,1,11-886-563-6149,7960.63,MACHINERY, packages are. requests integrate regularly across th
435,Customer#000000435,diwjNQSb3wLYLy WfCDATo5rc1I3 s,2,12-741-309-6377,6217.46,MACHINERY,quickly excuses. blithely express theodolites poach slyly along the theodolites. slyly reg
701,Customer#000000701,yQU8LcjocNHkk1hse30M0U1f46MrU6dB,2,12-323-784-5793,148.98,FURNITURE,c packages. blithely final instructions according to the regular pinto beans
742,Customer#000000742,2qRObRkFktME6SsNV0Pa3L8txbA0AFtXuWsKrkW,12,22-610-582-8610,6381.24,HOUSEHOLD,eodolites alongside of the daringly ironic deposi
751,Customer#000000751,e OSrreG6sx7l1t3wAg8u11DWk D 9,0,10-658-550-2257,2130.98,FURNITURE,ges sleep furiously bold deposits. furiously regular requests cajole slyly. unusual accounts nag unusual ide
785,Customer#000000785,gEkI8kSq8RYgO6tiTA0AB7urZX8s2w03JGwtMi9,18,28-808-670-2983,108.14,BUILDING,"nal theodolites. dogged, ironic deposits wake carefully. slyly regular requests after the furiously ironic "
1199,Customer#000001199,sQJZJRAgYrZY0gPo9fJp6KAbY,16,26-367-212-1737,6503.35,AUTOMOBILE,es. quickly slow foxes boost 
1463,Customer#000001463,WD3OuRpJ0NVj2qslrTkUPmeJqVx5,7,17-980-394-5868,6039.64,MACHINERY,s. blithely even courts wake quickly: quickly silent pains doubt slyly. slyl
1690,Customer#000001690,v2dVbJH3RxbBj5Wk5btJdzv9K35jXAoxhRYVthO,1,11-869-223-3212,-381.24,MACHINERY,riously throughout the slyly express accounts. slyl
1780,Customer#000001780,ZIeOfVh8umRYig,17,27-213-387-3335,5137.48,FURNITURE,patterns use carefully about the slyly even foxes. furiously regular excuses about the furiously careful packages af
2203,Customer#000002203,ZlHMC6rXOFUlH0KA5BXuKO1RV5MT,5,15-831-838-7460,8202.41,HOUSEHOLD,de of the slyly regular deposits sleep furiously bold requests. idly regular deposits are fluffily according to 
2500,Customer#000002500,pbF43XhhwX6pWpZ6LTWav7qPPY6zRJ0q,0,10-338-582-4233,3399.16,MACHINERY,ronic requests nod. warthogs ha
2544,Customer#000002544,"BGP,E1rzzSjibGpFEJwpl2VVx6rTuPKEgOp",17,27-187-656-9336,9658.88,FURNITURE,ronic deposits use against the regular requests. even
2635,Customer#000002635,3RFYqzZjZTC7cLOEUxZOlACTE8Y,0,10-392-627-7354,8329.35,MACHINERY, the final pinto beans. blithely special requests wake quickly packag
2648,Customer#000002648,sTy1mYFhKKxk 9DTM4xDYT4J5Cz6672yKzjLsen,3,13-806-879-4500,2637.17,FURNITURE,ily even requests detect furiously ironic d
2650,Customer#000002650,"MaSmGesEM0xrIUI,hk9e7hYHLUAndJXOsJTm",5,15-197-957-8847,2569.26,BUILDING,y quickly express requests. blithely careful packages serve sly accounts. furiously silent excuses i
2679,Customer#000002679,M ZHTULD GQuZcybOgH,20,30-667-296-9983,1362.84,FURNITURE," furiously pending packages boost furiously regular, ironic patt"
2929,Customer#000002929,rEds8bXP3EmVy3HcW4,12,22-539-611-8630,1725.15,FURNITURE, pinto beans sleep above the furiously ev
3123,Customer#000003123,"25G61TbNq,XtcMiMq81QlzH9XVn",7,17-880-456-9762,9160.13,AUTOMOBILE,osits boost blithely around the bli
3154,Customer#000003154,Ex7a88wfZox1Vo1nYvIOw6DzMTv2,11,21-478-763-8639,1693.24,BUILDING,encies around the blithely ironic packages sleep blithely quickly express pinto beans
3190,Customer#000003190,"F,D1HD5 Pye",9,19-485-838-8795,-933.58,FURNITURE, express deposits haggle furiously regular deposits
3221,Customer#000003221,RYwgXfDg1lZyPQY409V0IlGh gwdcu61dJoNV,0,10-127-908-6430,3849.78,FURNITURE,s. carefully final requests nag. carefully unusual packages cajole against the ironic instructions. ironic excuses h
3321,Customer#000003321,YmyCjPeRKO,15,25-911-236-5371,3078.1,BUILDING,"oxes wake against the requests. final, unusual packages haggle flu"
3663,Customer#000003663,TGvtN3wTGvyMB2YF,24,34-111-603-5115,17.31,HOUSEHOLD,the bold dependencies? carefully final platelet
3673,Customer#000003673,"D41MRshAg2qh4HgvuOl Ry71q,4e rFM",2,12-445-455-8143,4144.85,FURNITURE,es haggle quickly slyly ironic depths. final deposits nag. ironic a
3776,Customer#000003776,wPSxLusU9fMyvcLshyKwXfghzDq828 b6LCUA,15,25-457-206-9393,2192.12,BUILDING,"nic, even instructions cajole across the furiously regular platelets. bo"
3835,Customer#000003835,jAVuX4mmFqRCVhCUvNUhbjjXuABcLI8pBY,7,17-611-494-3969,4721.52,FURNITURE,"stead of the furiously special accounts. express, regular accounts ought to haggle carefully according to the "
3949,Customer#000003949,IX ct260WhplHltQdyIGoHqP27lUdjp5laBfO,19,29-959-332-5599,4022.06,HOUSEHOLD,"sits sleep among the express, bold "
4092,Customer#000004092,"CM4LxqSXQnuVT2p49,K5X1zJXzE",12,22-535-115-9431,646.59,MACHINERY, foxes nag above the unusual frets! quickly ironic instructions acro
4097,Customer#000004097,"d qZ7,unNnUv8QGn8JaeNEjoxFa0hRl4H2GwTx",3,13-250-187-8876,9658.66,BUILDING,"jole alongside of the furiously special courts. ruthless, special theodolites may wake furiously; furiously r"
4774,Customer#000004774,"b38g828QM2D7eRGKHMQG,Yne",23,33-306-572-4172,6335.85,FURNITURE, deposits sleep quickly after the furiously even pinto beans. slyly unusual accounts aft
4799,Customer#000004799,MxvZdf q9mi9wv,23,33-777-418-8371,9714.55,MACHINERY,"ndencies are slyly unusual, final platelets. "
4802,Customer#000004802,VeM1jN1ZCQUo3ijH1VSE,10,20-381-782-8176,3184.08,HOUSEHOLD, regular gifts. carefully even requests boost into the furiously ironic accounts. blithely final packag
4896,Customer#000004896,"eIb3 cZeS,31IX1eTEhH5XEcgGvspGXF0aCB,a",5,15-164-508-2447,2032.25,MACHINERY,", regular courts inside the deposits haggle about the slyly enticing requests. t"
4982,Customer#000004982,"GD byKOM1dMf5,dgBIV",17,27-878-169-1720,6062.19,AUTOMOBILE,efully: special pinto beans impress slyly along the boldly express packages. blithely regular asymptotes are r
4991,Customer#000004991,4zNrcF5kSlRZlXL1TELRFWP4zhnt,15,25-393-465-1778,-640.28,MACHINERY,nusual requests. final deposits solve f
5156,Customer#000005156,"3Yv VIjo37jmq 8 yh3ioV7OpYyKy0,Z1Pz o2Q",17,27-781-142-9699,8363.8,FURNITURE,ndencies. instructions are blithely regular packages. regular patterns against the blithely even in
5174,Customer#000005174,eZNYA8pLk7CfkLr7YbkIEfqfgINYPZJ1,18,28-273-758-4177,6905.8,BUILDING,ly express platelets cajole about the u
5307,Customer#000005307,XgwmkJvXNxMCFH9t5KHLi,24,34-541-751-4504,8324.04,BUILDING,ons cajole carefully. regular warthogs serve fluffily
5368,Customer#000005368,CDdAdlNxvCy,4,14-801-666-1421,1028.94,FURNITURE,"lently fluffily bold accounts. packages sleep to the regular, ironic forges? blithely un"
5832,Customer#000005832,O LQ0wbdCAoa6Rq6lbcPs2gOEemITh,12,22-404-460-7706,-60.25,FURNITURE,s: slyly special packages about the furiously silent dugouts are sometimes pe
5906,Customer#000005906,HY25tbBkdo51OrihC,18,28-301-576-1144,2174.33,BUILDING,ng to the regular excuses wake slyly furiously even deposits. furiously pendin
5999,Customer#000005999,msrBQ50LLZdrydPLqlb,18,28-527-322-2085,3272.37,AUTOMOBILE,ckages? carefully regular theodolites nag slyly above the 
6124,Customer#000006124,1FAv28GTpQRD2Nw ULiQG3qCi6PTGFXC,7,17-962-756-6916,-383.24,MACHINERY,final courts. furiously ironic deposits run blithely furiously express instructions. slyly special deposits slee
6232,Customer#000006232,"T0JFOylApn8YQr,",18,28-847-729-1271,2455.95,HOUSEHOLD,ly pending packages are. regularly express accounts past the fluffily regular p
12254,Customer#000012254,b6ZUtMH5yy7TG6BRYoHAERlgHbtYqS,3,13-296-371-4631,7799.84,FURNITURE,"l, unusual packages are blithely special depths. blithely special instructions run car"
12311,Customer#000012311,"lRa73U7,MfxzIS",24,34-520-969-1976,4496.76,AUTOMOBILE,"express, final accounts wake fluffily furiously regular"
12399,Customer#000012399,AqgHEvULaAz15KI AmgB,15,25-246-512-1763,9566.27,FURNITURE,oost furiously about the deposits; packages among the foxes integrate across the
12409,Customer#000012409,1AwdLe9oBGHhseGUbBzt5vW0KVOr5tqUoaZ5nbgq,23,33-589-588-4878,8825.37,FURNITURE, final packages boost. deposits nag according to the fluffily s
12451,Customer#000012451,"j3OteF9z9OXmVIgh2qT8,",3,13-854-810-8990,6487.43,FURNITURE,he theodolites boost even pains. packages
12470,Customer#000012470," lbvsNk8q,Yh70CU",22,32-553-667-6824,8323.45,AUTOMOBILE,ely among the packages. blithely regular a
12513,Customer#000012513,pikLqyjBv6scf4kXN9N ,10,20-583-300-6311,4155.89,HOUSEHOLD,e accounts sleep carefully. slyly regular accounts haggle fluffily final asymptotes! pend
12646,Customer#000012646,i9QYHDGlfxZiL,9,19-369-216-5973,1148.82,AUTOMOBILE,riously permanent excuses. deposits are
12682,Customer#000012682,uKuziLe0uzrxu,22,32-669-859-1601,3624.28,AUTOMOBILE,"oxes. blithely ironic requests haggle slowly ideas-- carefully ironic accounts about the ironic, ironic accounts "
12720,Customer#000012720,A39Cjve9Wb44UOoKymezCEV1egq3hpjgx,11,21-121-341-4189,5842.73,AUTOMOBILE,mptotes will boost. foxes after the carefully ironic ide
12839,Customer#000012839,5ciJX2GvFuyiqzEoIQcinorHEhipai1d8RC4,12,22-596-874-9832,5561.37,MACHINERY,y regular instructions. slyly
13020,Customer#000013020,p5OmWJuc1w8YjPpfJl TVlw4fFal9D,14,24-599-368-2900,3570.75,AUTOMOBILE,es thrash. quietly ironic ideas among t
13372,Customer#000013372,7ZKfkd3sZOYJaThzRJaQ7,0,10-481-979-4963,7711.14,HOUSEHOLD,xes affix furiously according to the platelets. final foxes impress slyly. blithely sly deposits caj
13399,Customer#000013399,Iz pMuwrfN4aG0Ns0t5fJks4xiU1FlObBngns,18,28-136-867-9612,6326.12,BUILDING,deposits after the slyly regular ideas cajole furiously silent accounts. stealthily ironi
13639,Customer#000013639,3EIFzqlOSAXAS9xiLaBBSiciM28Fqw81wHTB95,13,23-686-904-4305,9040.61,BUILDING,unts. blithely ironic requests haggle furiously pending theodolites. packages use carefully carefully special 
14038,Customer#000014038,jNTOVXgw5ghq,0,10-823-855-7512,-517.93,AUTOMOBILE,theodolites wake ironic orbits.
14050,Customer#000014050,",8v6AVtIratX61OK5G6DD8Jt",10,20-908-987-1992,2125.88,FURNITURE,egular depths. quickly unusual asymptotes are fluf
14108,Customer#000014108,VgON fPpPotWwCEMesT7rKAYRW882Dv9sC6bRX,19,29-183-740-9456,4239.01,MACHINERY,with the dugouts. special packages are beside the ideas. unusual ideas haggle 
14115,Customer#000014115,"J0AV1nIrdZ3HyCUsSq6,W",7,17-410-319-2250,8154.61,MACHINERY," dependencies. express, even instructions play regularly carefully daring accounts. blithely ironic pinto bea"
14515,Customer#000014515,sc7L6DnhM4 cf8CC,16,26-342-205-9598,1623.78,AUTOMOBILE,c ideas use fluffily bold courts. ironic asy
14640,Customer#000014640,KRog45RbKGbJzfPBNMIxJ,3,13-951-310-4981,4660.4,AUTOMOBILE,ajole among the furiously bold accounts. slyly regular foxes detect carefully blith
14745,Customer#000014745,pjSrpPS1o 10CjyI9PBbD,14,24-301-622-9020,3771.21,HOUSEHOLD,tect slyly pending requests? fur
14759,Customer#000014759,o s mD5jaY 5FqrA,1,11-736-674-1990,-942.58,HOUSEHOLD,le quickly final excuses. bravely express deposits sleep slyly. furiously regular asymptotes are ideas. regula
